season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,dv_plus
2026,52591,윤동희,LOT,1136,True,2.874812,6.239424,70.879853,-5.078457,87.423313,1136,100.0,73,486,2.440459,650,3.798965,289,20.500346,1.804608,2.185729,-0.381121,244,8.617173,0.758554,1.352353,-0.593799,200,3.174678,0.279461,-0.270067,0.549528,281,21.45991,1.889077,-0.65024,2.539317,122,17.127746,1.507724,-0.177316,1.68504,103.390534
2026,78513,전준우,LOT,786,True,0.831918,5.270859,41.428952,3.769742,68.404908,786,100.0,58,386,1.342687,400,3.928172,184,14.509051,1.845935,2.237984,-0.392049,170,5.251194,0.668091,1.113314,-0.445223,140,-0.623425,-0.079316,-0.552146,0.472829,191,7.400356,0.941521,-1.317932,2.259453,101,14.891776,1.894628,-0.138534,2.033162,87.796709
2026,61102,유강남,LOT,458,True,-3.963054,4.260405,19.512654,1.071145,8.895706,458,100.0,51,213,1.481006,245,2.779399,119,6.697067,1.462242,2.054077,-0.591835,94,3.081846,0.672892,1.056494,-0.383602,80,-0.51072,-0.111511,-0.525067,0.413556,113,5.003237,1.09241,-0.816674,1.909084,52,5.241225,1.144372,-0.287823,1.432195,71.528475
2026,62931,노진혁,LOT,855,True,2.289905,7.034437,60.144439,0.813183,80.674847,855,100.0,82,395,2.579043,460,4.455395,219,19.345535,2.262636,2.556611,-0.293975,184,10.901607,1.275042,1.643372,-0.36833,156,3.065627,0.358553,-0.574926,0.933479,205,13.391736,1.566285,-0.884875,2.45116,91,13.439934,1.571922,-0.161138,1.73306,116.190184
2026,52415,이재현,SAM,1094,True,-0.043094,7.398581,80.940474,-7.831134,54.907975,1094,100.0,74,407,2.709205,687,4.689376,258,15.89234,1.452682,1.909982,-0.4573,240,13.16105,1.203021,1.618558,-0.415537,209,7.075351,0.646741,-0.174108,0.820849,244,19.833156,1.812903,-0.585971,2.398874,143,24.978577,2.283234,-0.059256,2.34249,122.052875
2026,67449,김성윤,SAM,1512,True,0.119202,5.55757,84.030465,4.416242,57.361963,1512,100.0,105,668,1.205262,844,4.352309,347,17.252172,1.141017,1.463505,-0.322489,311,13.646234,0.902529,1.220759,-0.31823,288,7.52476,0.497669,-0.437367,0.935036,336,23.478121,1.552786,-0.734415,2.287201,230,22.129177,1.46357,-0.30722,1.77079,92.412735
2026,62404,구자욱,SAM,1810,True,2.310516,6.916613,125.190696,0.74076,81.288344,1810,100.0,105,792,2.505794,1018,4.410819,406,32.582405,1.800133,2.104171,-0.304038,386,22.037322,1.217532,1.523164,-0.305632,362,13.315864,0.735683,-0.268609,1.004292,428,26.613789,1.470375,-0.720409,2.190784,228,30.641315,1.69289,-0.132523,1.825413,114.293226
2026,54400,디아즈,SAM,2100,True,-3.622835,5.68965,119.482657,2.86904,10.736196,2100,100.0,125,921,1.131649,1179,4.558002,454,31.225497,1.486928,1.94577,-0.458842,416,20.888794,0.994704,1.380367,-0.385663,379,0.572052,0.027241,-0.643917,0.671158,557,26.418178,1.258008,-1.320062,2.578071,294,40.378135,1.922768,-0.230509,2.153278,94.539213
2026,72443,최형우,SAM,1989,True,3.604119,7.672584,152.6077,2.954749,92.944785,1989,100.0,118,931,2.455847,1058,5.216737,440,36.4137,1.830754,2.138934,-0.30818,435,32.812532,1.6497,1.982002,-0.332302,392,2.226573,0.111944,-0.647743,0.759687,468,38.283964,1.924785,-0.82987,2.754655,254,42.870931,2.155401,-0.187476,2.342877,126.464303
2026,52568,한태양,LOT,784,True,-3.540061,5.905995,46.302999,-7.61461,11.349693,784,100.0,53,302,1.547258,482,4.358737,180,12.197306,1.555779,2.139071,-0.583292,161,5.682123,0.724761,1.234596,-0.509836,160,3.508116,0.447464,-0.643376,1.09084,184,8.632754,1.101117,-0.987248,2.088365,99,16.282701,2.076875,-0.195785,2.27266,98.022352
2026,68205,전민재,LOT,1602,True,-0.494244,5.636286,90.293309,4.537401,47.546012,1602,100.0,119,804,1.776721,798,3.859566,386,30.137711,1.881255,2.232193,-0.350938,351,19.804083,1.23621,1.555852,-0.319642,293,1.329128,0.082967,-0.565619,0.648586,390,13.504245,0.842962,-1.212023,2.054984,182,25.518142,1.592893,-0.233682,1.826575,93.680057
2026,68507,장두성,LOT,737,True,-4.310727,5.192972,38.272206,8.099502,7.668712,737,100.0,69,386,1.867696,351,3.325276,193,14.271209,1.936392,2.281904,-0.345512,158,8.982343,1.218771,1.522981,-0.30421,143,2.396271,0.325139,-0.368439,0.693577,163,3.547791,0.481383,-1.191174,1.672557,80,9.074592,1.231288,-0.377576,1.608864,86.542734
2026,52430,김영웅,SAM,685,True,-0.671801,5.220778,35.762331,6.457803,43.865031,685,100.0,43,356,1.709572,329,3.511206,152,13.769266,2.010112,2.253173,-0.243061,162,9.286512,1.355695,1.673312,-0.317617,128,-0.117433,-0.017144,-0.585438,0.568295,164,4.572205,0.667475,-1.283006,1.950481,79,8.251781,1.20464,-0.348468,1.553108,86.990409
2026,74540,강민호,SAM,1179,True,-0.696031,6.792509,80.083679,-4.999205,42.638037,1179,100.0,93,497,2.259172,682,4.533337,292,26.687798,2.263596,2.706673,-0.443077,257,10.157066,0.861498,1.409647,-0.548148,218,-0.403106,-0.034191,-0.799516,0.765326,293,24.079368,2.042355,-0.84949,2.891845,119,19.562553,1.65925,-0.208141,1.867391,112.295161
2026,62234,류지혁,SAM,1887,True,1.913639,7.471601,140.989105,-1.334493,76.380368,1887,100.0,121,801,2.858935,1086,4.612666,460,38.632441,2.047294,2.412778,-0.365483,401,22.766341,1.206483,1.640032,-0.433548,363,6.729146,0.356606,-0.446307,0.802913,440,34.321087,1.818818,-0.665071,2.483889,223,38.540091,2.0424,-0.082496,2.124896,123.228492
2026,50458,김지찬,SAM,1881,True,-2.609491,6.540977,123.035772,-3.083228,25.460123,1881,100.0,122,709,1.97298,1172,4.567997,434,25.915461,1.377749,1.834271,-0.456522,392,20.604976,1.095427,1.42706,-0.331634,353,9.558787,0.508176,-0.432066,0.940242,438,30.204893,1.605789,-0.753509,2.359298,264,36.751655,1.953836,-0.102777,2.056613,108.245515
