season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2023,79456,이지영,,807,True,51.548947,42.828117,24.230164,3.002499,33.9775,416,-0.755293,391,7.000558,382,3.581854,425,2.48176,211,5.061887,9.342859,-3.561213,326,1.068124,-1.828754,5.218873,182,3.356589,-14.098975,13.054124,88,4.498303,-20.221723,10.854881,62.258,84.237,65.017
2023,66657,이진영,,1803,True,41.652801,46.88367,109.371854,6.066104,57.360883,751,3.718293,1052,7.742155,941,4.420414,862,7.862617,535,5.761729,11.441415,-4.636003,758,2.341498,-0.638041,4.804105,360,9.934186,-14.775761,14.200073,150,16.689986,-18.258697,18.920753,116.956,101.256,120.278
2023,64560,이창진,,1104,True,41.123188,45.680718,60.985221,5.524024,59.728953,454,3.71695,650,6.786195,575,3.457724,529,7.770002,317,5.221714,9.763133,-5.390863,471,1.858669,-0.269579,3.527408,209,9.352146,-17.086259,12.621412,107,15.076702,-15.566756,15.660387,107.278,81.718,119.327
2023,61186,이천웅,,10,False,50.0,41.732998,-0.267755,-2.677554,-23.503613,5,-7.644989,5,2.289882,4,-1.607667,6,-3.390812,3,-2.075574,12.948286,-9.587505,2,-6.791462,-6.791462,,4,-4.509181,-18.795154,9.776792,1,11.070833,,11.070833,-39.156,-21.087,4.706
2023,68466,이태훈,,56,False,50.0,47.735602,1.320835,2.358633,26.98861,28,-2.666343,28,7.383609,28,1.565826,28,3.15144,17,2.282213,4.637453,-5.372319,20,0.520915,-3.250481,4.292312,14,-0.093638,-20.487935,11.236526,5,16.835695,,16.835695,50.762,43.321,71.895
2023,69453,이학주,,449,True,48.329621,47.437369,25.439026,5.665707,55.770815,217,2.464865,232,8.659599,225,4.80768,224,6.527565,128,5.974658,10.196563,-4.02459,192,2.14125,-1.038076,6.228955,85,8.870302,-12.753599,14.679708,44,13.955695,-41.138048,15.236945,109.807,109.116,106.567
2023,69416,이해승,,12,False,66.666667,36.102886,0.169197,1.409976,22.934593,8,-1.778088,4,7.786103,5,3.036754,7,0.247991,3,1.906807,1.906807,,3,1.97848,2.47699,0.981461,4,1.603649,-5.044712,8.25201,2,-0.575377,-14.809684,13.658931,33.824,73.174,42.077
2023,78135,이형종,,1555,True,42.893891,45.338829,89.843839,5.777739,54.651606,667,2.443807,888,8.281942,767,4.335576,788,7.181468,410,6.318355,10.833388,-4.988521,657,2.248829,-0.903795,4.947262,342,7.638212,-17.912701,13.748214,146,15.781567,-17.615054,16.965845,111.808,99.535,113.283
2023,68504,이호연,,866,True,49.884527,45.452044,41.62919,4.807066,53.706657,432,2.03379,434,7.567562,431,4.568352,435,5.043584,244,5.834366,8.650171,-2.613049,365,1.563396,-0.526495,4.068747,179,6.155671,-11.610078,12.481354,78,13.677298,-17.979285,14.943561,94.477,104.259,91.327
2023,63440,이흥련,,59,False,44.067797,49.890659,2.971825,5.036991,64.200999,26,5.181424,33,4.923196,39,2.961562,20,9.084079,20,4.969519,10.190551,-4.726684,32,3.039401,0.172298,5.001104,5,14.872048,,14.872048,2,13.08552,,13.08552,98.582,71.648,132.823
2023,64346,임병욱,,845,True,59.171598,47.347881,35.342113,4.182499,44.507967,500,1.908656,345,7.477923,441,5.033522,404,3.253535,219,7.97043,10.964976,-6.293067,380,0.867756,-0.802542,3.934123,176,4.212955,-11.223208,12.608061,70,10.249428,-12.460769,14.483532,83.326,113.7,72.943
2023,64340,임지열,,969,True,43.137255,47.004051,58.89976,6.078407,58.331165,418,4.053881,551,7.614254,511,4.190883,458,8.184356,264,6.063585,10.146031,-4.41837,433,2.969278,0.892372,4.670945,194,9.198368,-12.838183,13.229445,78,15.628315,-7.363526,16.547989,117.176,96.598,123.583
2023,68507,장두성,,49,False,46.938776,41.802196,1.246659,2.544203,35.128606,23,-1.631787,26,6.238347,24,1.176721,25,3.856985,13,2.192094,5.27196,-2.735692,26,2.943209,-3.592398,7.735986,9,1.913675,-10.0476,11.482695,1,2.422207,,2.422207,54.075,35.424,79.141
2023,78548,장성우,,1785,True,43.137255,44.424552,95.707382,5.361758,55.003776,770,2.591748,1015,7.463145,895,4.327479,890,6.401848,477,6.40498,11.581383,-3.754915,752,1.987268,-0.63843,4.411506,388,6.826175,-15.129371,13.266469,168,14.122506,-20.442553,15.182784,104.381,99.37,105.276
2023,63202,장승현,,571,True,45.183888,46.460596,24.985245,4.3757,48.220816,258,2.735539,313,5.727653,302,3.031999,269,5.884241,175,4.604687,9.863831,-6.86981,257,0.671261,-2.315705,3.456101,100,9.341101,-11.987897,12.528193,39,15.027696,-34.900484,16.341596,86.775,73.078,99.961
2023,63700,장운호,,43,False,46.511628,42.727171,3.882516,9.029107,79.663734,20,9.386392,23,8.718424,18,11.834777,25,7.009024,12,11.177694,14.374493,-4.806303,20,6.313296,4.398291,8.2283,8,11.318835,,11.318835,3,12.434226,,12.434226,169.859,251.736,111.512
2023,64115,장준원,,437,True,41.418764,47.274801,23.276737,5.326484,57.10194,181,3.296855,256,6.761496,220,3.635682,217,7.040662,123,4.986445,9.067639,-4.499572,185,1.729247,-0.42899,3.373619,89,9.172999,-9.917791,13.042754,40,14.450832,,14.450832,103.751,85.33,111.837
2023,51706,장지승,,8,False,50.0,35.121102,0.363281,4.541007,54.452558,4,-2.960851,4,12.042865,3,1.116699,5,6.595592,2,1.591611,1.591611,,4,0.943885,-7.513312,9.401082,2,14.684649,,14.684649,0,,,,89.727,34.205,107.266
2023,66706,장진혁,,727,True,44.841816,46.411365,38.422608,5.285091,53.780314,326,2.918013,401,7.209448,394,4.039482,333,6.758873,192,5.646068,11.034569,-3.95952,338,2.644441,0.480868,5.080161,153,7.904064,-20.502298,13.188969,44,14.88802,,14.88802,103.012,93.525,108.943
2023,68205,전민재,,46,False,67.391304,42.974914,0.06476,0.140783,2.301535,31,-0.26641,15,0.982315,28,1.406657,18,-1.828354,15,1.348685,4.713201,-20.520672,23,0.236784,-1.69232,3.237611,7,-0.675989,-10.456499,6.659393,1,-14.468349,-14.468349,,11.164,40.09,20.753
2023,65586,전병우,,315,True,38.730159,45.402995,15.657547,4.97065,47.485379,122,1.684264,193,7.048055,153,3.563996,162,6.299156,73,5.993903,12.356459,-4.231634,139,1.780084,-1.568867,4.399135,71,6.371714,-13.438833,11.237463,32,13.386765,-33.357976,16.503081,97.398,83.875,104.222
2023,69969,전사민,,2,False,50.0,41.972265,-0.060914,-3.045676,-100.0,1,-6.055414,1,-0.035938,1,-0.035938,1,-6.055414,1,-0.035938,,-0.035938,1,-6.055414,-6.055414,,0,,,,0,,,,-45.728,10.812,-22.659
2023,50820,전의산,,620,True,51.129032,45.5113,35.100603,5.661388,51.394439,317,1.684376,303,9.822155,299,4.760877,321,6.500181,137,7.166329,10.53501,-6.557925,276,1.5151,0.097565,3.75401,133,7.870373,-16.627952,15.315942,74,14.36954,-17.989407,17.750325,109.73,108.166,106.286
2023,78513,전준우,,1986,True,44.662638,44.384434,107.470571,5.411408,57.459064,887,3.191648,1099,7.202971,994,4.650185,992,6.174167,524,5.994942,10.316489,-3.576093,853,2.191943,0.879795,3.557456,432,7.633521,-14.070752,12.795282,177,13.775703,-13.512383,15.067447,105.267,105.92,102.938
2023,67123,전준호,,5,False,60.0,45.755063,1.201367,24.027344,85.652238,3,23.918162,2,24.191116,3,23.918162,2,24.191116,2,40.908324,40.908324,,1,-10.06216,-10.06216,,1,2.305686,,2.305686,1,46.076545,,46.076545,437.641,496.975,287.971
2023,53568,정대선,,177,False,46.892655,44.89118,6.167248,3.484321,33.538245,83,1.201595,94,5.49992,85,4.680488,92,2.379167,45,7.429723,17.804762,-4.427465,79,0.768033,-1.892746,2.884561,35,5.835525,-11.096849,20.094367,18,0.97052,-10.473276,10.125557,70.86,106.535,63.964
2023,68518,정보근,,350,True,40.857143,40.450209,21.987926,6.282265,61.264707,143,2.012491,207,9.231915,161,3.68378,189,8.495789,93,6.322052,10.758771,-3.469327,131,-0.429218,-2.720463,1.82731,91,12.014832,-18.229,15.748639,35,16.391989,-10.413761,19.850796,120.816,86.306,126.781
2023,79231,정수빈,,2315,True,38.7473,45.081191,116.986324,5.053405,57.403241,897,2.45769,1418,6.695405,1176,3.54476,1139,6.611058,632,4.434448,9.739601,-3.306536,1033,2.982459,-0.468974,5.424134,475,7.620658,-13.125151,12.404018,175,12.544965,-15.78872,13.378308,98.875,83.484,107.425
2023,68743,정은원,,1958,True,34.678243,44.51299,119.984788,6.127926,61.239601,679,3.6059,1279,7.466828,963,4.338359,995,7.859938,531,5.645631,11.578676,-2.000836,833,2.804352,-0.168921,4.755009,412,10.201685,-16.402817,13.463817,182,13.524884,-43.949443,15.148452,118.06,99.591,120.251
