season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z
2023,63920,김준완,KIW,,1038,True,-17.657028,-5.373212,0.289,60.681244,5.845977,32.273603,44.655172,16.593886,28.061286,51.393189,53.333333,31.509847,11.290323,5.555556,-12.231339,-14.326697,-8.260178,-8.865972,-3.730881,-18.234325,2,4.321222,True,-2.441191,-3.058149,-1.732767,-1.254052,-1.210166,-3.008097
2023,62558,김준태,KT,,557,True,-3.40926,4.467144,95.087,39.845538,7.153597,41.292639,66.312057,15.636364,50.675693,71.176471,70.731707,46.666667,9.401709,0.0,-2.229302,-7.357588,-4.564837,-9.116965,-3.314852,-3.448468,2,1.594509,False,-0.444935,-1.570537,-0.957582,-1.289554,-1.075221,-0.56889
2023,50458,김지찬,SAM,,1303,True,-4.542864,-4.287069,2.601,74.342895,5.705518,35.99386,54.262295,19.91342,34.348875,55.589124,59.375,43.945312,15.84507,8.522727,-3.910636,-10.13225,-5.839972,-4.772379,-0.104588,-5.839806,2,1.84025,False,-0.780504,-2.162811,-1.225072,-0.675032,-0.033925,-0.963386
2023,66917,김찬형,SSG,,196,False,-8.906526,-0.432712,33.526,9.798896,4.999437,39.795918,56.896552,15.0,41.896552,60.655738,76.923077,46.590909,0.0,0.0,,,,,,,,,,,,,,,
2023,78122,김태군,SAM · KIA,,1152,True,3.43537,-5.16482,0.867,45.639696,3.961779,45.486111,60.37037,32.352941,28.017429,60.211268,59.259259,51.356994,36.501901,8.730159,3.237041,1.600222,0.217202,-3.313812,-0.429817,1.604966,2,1.83075,False,0.646065,0.34158,0.045563,-0.468724,-0.139417,0.264769
2023,69207,김태근,DOO,,209,False,5.956409,0.327122,42.775,7.629926,3.650682,55.023923,71.681416,35.416667,36.264749,78.333333,77.777778,60.91954,31.111111,5.882353,,,,,,,,,,,,,,,
2023,66704,김태연,HAN,,1109,True,0.469384,1.271484,54.624,49.946765,4.503766,45.446348,63.099631,28.571429,34.528202,69.666667,71.910112,51.121076,22.535211,3.797468,-1.656811,3.0033,-0.850075,-2.206921,-1.456659,1.126411,2,1.486254,False,-0.330675,0.641079,-0.178323,-0.312159,-0.472489,0.185823
2023,64984,김태진,KIW,,765,True,6.890517,1.252666,54.046,31.49037,4.116388,55.424837,72.639225,35.227273,37.411952,74.122807,80.882353,63.384615,30.769231,1.785714,7.905071,9.643986,3.63683,6.799072,-3.479833,13.39066,1,2.387738,False,1.577733,2.058587,0.762911,0.961698,-1.128735,2.209042
2023,65040,김태훈,SAM,,42,False,23.926251,-7.499582,0.0,0.449894,1.071176,66.666667,81.25,57.692308,23.557692,100.0,100.0,78.947368,40.0,20.0,,,,,,,,,,,,,,,
2023,50902,김한별,NC,,390,True,4.469499,-1.383556,23.988,18.493157,4.741835,52.051282,70.135747,28.402367,41.73338,75.0,88.0,56.603774,26.25,6.451613,8.523915,0.695543,8.823967,18.644968,-0.413716,6.709199,1,2.33497,False,1.701245,0.148469,1.851035,2.637248,-0.134195,1.106809
2023,61404,김헌곤,SAM,,8,False,17.769391,5.374662,98.266,0.316066,3.950819,75.0,80.0,66.666667,13.333333,75.0,66.666667,100.0,0.0,,,,,,,,,,,,,,,,
2023,76290,김현수,LG,,2142,True,1.358753,3.288998,85.838,113.499387,5.298758,44.631186,68.918919,21.880651,47.038268,74.777975,79.518072,48.945616,18.541667,2.525253,1.772947,-2.062324,0.962811,1.782487,-1.504553,-1.125105,2,1.475289,False,0.353854,-0.44022,0.201972,0.252125,-0.488024,-0.185607
