season,batter_id,batter_name,batter_stance,team,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2026,78224,김재환,L,—,1862,True,42.26638,44.038909,136.317295,7.321015,52.827951,787,3.855578,1075,9.858037,758,6.208555,1104,8.084823,397,8.938806,14.660326,-6.768386,758,2.378116,1.807604,2.970099,461,9.319487,-17.301197,16.321091,246,16.195642,-19.188208,18.330875,112.404,101.265,110.869
2026,53865,김정민,L,—,35,False,54.285714,45.565722,1.504859,4.299598,46.653829,19,0.319085,16,9.026457,16,1.962241,19,6.267898,6,4.980843,5.884994,3.17254,20,-0.146301,0.429581,-1.490025,7,9.500137,-23.491489,14.998741,2,28.512965,,28.512965,68.015,37.616,95.858
2026,51903,김정호,R,—,30,False,56.666667,46.150149,1.870847,6.236158,44.45425,17,6.47121,13,5.928783,12,7.809121,18,5.187517,5,9.198882,9.198882,,15,6.726295,12.979552,-2.65359,9,6.180545,-18.685405,13.285102,1,-15.428999,-15.428999,,96.466,125.257,86.933
2026,66162,김주성,R,—,6,False,50.0,41.31866,0.158647,2.644109,40.363588,3,3.73972,3,1.548497,1,2.913789,5,2.590172,0,,,,5,1.574538,3.73972,-1.673235,1,7.991961,,7.991961,0,,,,43.693,51.879,65.475
2026,51907,김주원,L,—,1967,True,44.789019,45.214906,140.19882,7.127545,58.04505,881,5.312518,1086,8.599957,942,6.420106,1025,7.7777,493,7.732902,12.108196,-5.42855,807,3.976132,4.995966,2.901803,435,8.543077,-18.289585,14.682753,232,14.149071,-24.161095,16.986861,109.561,104.436,108.332
2026,56326,김지석,L,—,221,False,44.343891,49.46731,9.069683,4.103929,37.861779,98,3.102008,123,4.902207,101,3.810897,120,4.350564,54,1.766904,10.113145,-7.914736,96,2.824763,4.372317,1.07087,48,3.001057,-11.79292,11.877443,23,17.231627,,17.231627,65.14,65.326,80.018
2026,50458,김지찬,L,—,1766,True,37.372593,40.497432,124.801,7.066874,57.318217,660,5.170263,1106,8.198667,763,5.948141,1003,7.917915,400,6.056365,14.397979,-5.001123,702,4.73985,5.564732,4.0081,417,7.65361,-16.24674,14.419247,247,14.326412,-21.202709,15.825531,108.67,97.362,109.49
2026,69825,김창평,L,—,26,False,61.538462,59.627581,2.380377,9.155297,55.370445,16,8.595668,10,10.050704,16,11.589099,10,5.261215,4,11.358823,18.208256,-9.189479,14,8.45131,11.297374,-1.984259,5,3.799508,-20.682599,20.120913,3,18.428854,,18.428854,139.352,181.916,87.542
2026,78122,김태군,R,—,648,True,39.197531,45.148046,35.154474,5.425073,44.100172,254,2.462339,394,7.335059,288,4.527069,360,6.143476,152,5.083509,14.204016,-5.050388,260,3.032185,3.948189,2.305699,154,5.396263,-16.405084,15.87768,82,13.699529,-16.07497,17.370358,84.55,76.061,94.831
2026,66704,김태연,R,—,1359,True,45.253863,44.013414,75.818127,5.578964,46.294296,615,2.441802,744,8.172183,605,5.36987,754,5.746739,318,6.828564,12.36365,-5.782304,550,2.429003,2.358795,2.508463,306,4.849488,-18.781591,14.087091,185,14.002349,-19.013098,17.128072,86.811,88.694,91.553
2026,64984,김태진,L,—,76,False,39.473684,42.20444,3.864805,5.08527,36.47866,30,0.37174,46,8.159311,28,5.203509,48,5.016297,15,7.611041,14.771925,-3.130283,32,3.206076,3.409414,3.047924,21,2.147258,-24.218131,15.329952,8,15.578506,,15.578506,79.558,86.2,85.518
2026,65040,김태훈,L,—,71,False,60.56338,42.096151,3.528457,4.969658,41.951264,43,1.106541,28,10.902301,32,6.519667,39,3.697856,15,7.719943,11.440021,-7.16037,33,2.537143,1.79425,4.51819,14,0.499673,-20.783388,12.323596,9,16.258381,-14.422014,25.024208,77.859,105.929,74.626
2026,50902,김한별,R,—,518,True,41.505792,45.964513,41.424581,7.997023,59.134111,215,5.957346,303,9.444319,229,7.643758,289,8.276946,112,9.267198,15.811318,-4.548166,215,3.957602,5.458963,2.41375,123,9.063007,-17.143984,15.748464,68,16.748494,-17.451625,19.462789,122.335,122.778,112.456
2026,56595,김한홀,L,—,3,False,66.666667,73.05845,-0.06071,-2.02368,-40.063362,2,2.270639,1,-10.612318,3,-2.02368,0,,0,,,,3,-2.02368,2.270639,-10.612318,0,,,,0,,,,-24.883,-22.131,
2026,61404,김헌곤,R,—,285,False,48.77193,47.065485,15.325023,5.377201,44.074643,139,4.48619,146,6.225492,138,6.125817,147,4.674419,74,5.782351,13.662593,-5.775338,108,3.991015,6.38262,0.767547,70,4.130098,-10.621574,14.564207,33,11.650663,-16.317616,15.508357,83.846,100.025,82.694
2026,76290,김현수,L,—,1958,True,42.747702,43.50704,137.181133,7.006187,57.004595,837,5.144596,1121,8.396152,894,6.415449,1064,7.50254,491,7.193897,13.02295,-5.206766,791,3.843717,4.320095,3.385071,479,8.901773,-14.802721,15.235514,197,14.627311,-16.054312,16.974539,107.779,104.367,106.058
2026,54166,김현종,R,—,49,False,46.938776,42.348076,0.671591,1.370593,11.964165,23,-4.582347,26,6.636655,17,4.323558,32,-0.19817,8,2.277087,7.017459,-5.623533,16,2.70004,5.978097,-1.514606,18,-1.872438,-21.285344,10.48123,7,5.635088,-22.643369,16.946471,24.984,73.01,42.439
2026,51417,김현준,L,—,185,False,36.216216,43.380868,16.141004,8.724867,60.16638,67,7.833191,118,9.231158,88,7.119386,97,10.181386,43,7.791063,17.990207,-6.374414,73,6.014349,10.890522,2.800507,40,8.646891,-14.735214,16.440926,29,17.040055,-31.134786,22.598691,133.028,114.918,128.19
