season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,zone_judgment_raw,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,za_ci_low,za_ci_high,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100
2024,69813,하재훈,SSG,1225,True,-0.611638,-0.611638,-7.492564,5.552886,-3.535138,6.129032,1225,100.0,-0.872431,-0.347154,101,632,-0.719434,593,0.107796,281,0.508563,0.041515,0.249615,-0.2081,248,-0.636994,-0.052,0.199376,-0.251375,251,0.050087,0.004089,-0.191793,0.195882,297,-5.427793,-0.443085,-0.700092,0.257007,148,-1.986426,-0.162157,-0.27654,0.114382
2024,62802,박승욱,LOT,1817,True,0.193155,0.193155,3.509624,2.016716,3.042578,70.0,1816,99.944964,-0.03554,0.42371,132,877,-0.132985,940,0.32614,457,1.051846,0.057889,0.270488,-0.212598,390,-0.007794,-0.000429,0.228595,-0.229024,328,0.475224,0.026154,-0.196856,0.22301,422,1.235335,0.067988,-0.376555,0.444543,220,0.755013,0.041553,-0.058656,0.100209
2024,79231,정수빈,DOO,2494,True,0.132881,0.132881,3.314056,-6.470015,-1.320586,64.83871,2494,100.0,-0.09324,0.366171,136,965,-0.291442,1529,0.424323,640,-1.54341,-0.061885,0.190722,-0.252607,535,-0.794261,-0.031847,0.184078,-0.215925,469,1.95447,0.078367,-0.210238,0.288605,563,1.527213,0.061235,-0.363914,0.42515,287,2.170044,0.087011,-0.092091,0.179101
2024,52025,라모스,DOO,1301,True,-0.073393,-0.073393,-0.954838,12.493467,3.476539,43.548387,1300,99.923136,-0.422347,0.295567,80,730,-0.478721,571,0.405329,281,2.297108,0.176565,0.260078,-0.083513,287,1.40553,0.108035,0.266744,-0.158709,250,-0.167453,-0.012871,-0.242575,0.229704,324,-4.515112,-0.347049,-0.652868,0.305819,159,0.025088,0.001928,-0.1101,0.112028
2024,76232,양의지,DOO,1794,True,0.297621,0.297621,5.339325,-2.053684,0.6785,82.258065,1794,100.0,0.046151,0.541641,118,801,-0.282117,993,0.579738,428,0.265289,0.014788,0.200053,-0.185266,393,1.319323,0.073541,0.218845,-0.145304,365,1.272161,0.070912,-0.26179,0.332702,423,2.588581,0.144291,-0.334536,0.478827,185,-0.106028,-0.00591,-0.104689,0.098779
2024,62907,박민우,NC,2071,True,0.272372,0.272372,5.64083,-4.1567,1.126731,80.322581,2071,100.0,0.026339,0.533042,121,873,-0.248499,1198,0.520871,513,0.881185,0.042549,0.199565,-0.157017,464,-0.211384,-0.010207,0.220441,-0.230648,386,-0.51361,-0.0248,-0.195284,0.170484,495,4.576291,0.22097,-0.372988,0.593958,213,0.908348,0.04386,-0.100234,0.144094
2024,63963,권희동,NC,2316,True,0.586887,0.586887,13.592294,-12.248926,-1.484788,95.806452,2316,100.0,0.387139,0.79392,121,817,-0.03846,1499,0.625347,570,-1.875749,-0.080991,0.176945,-0.257936,496,-0.469206,-0.020259,0.203727,-0.223986,443,3.177821,0.137212,-0.133479,0.27069,531,9.812853,0.423698,-0.221423,0.645121,276,2.946576,0.127227,-0.06423,0.191457
2024,77532,손아섭,NC,1349,True,-0.088195,-0.088195,-1.189753,3.720197,-1.193466,41.612903,1349,100.0,-0.299664,0.126392,83,644,-0.4516,705,0.363405,314,1.73552,0.128652,0.266122,-0.13747,295,0.851405,0.063114,0.2578,-0.194686,240,0.007549,0.00056,-0.193877,0.194436,332,-2.532191,-0.187709,-0.576118,0.388409,168,-1.252036,-0.092812,-0.205527,0.112715
2024,78224,김재환,DOO,2230,True,0.335487,0.335487,7.48137,-0.479199,4.211624,85.483871,2230,100.0,0.057467,0.63284,136,1019,-0.187201,1211,0.522688,575,-1.01881,-0.045687,0.275209,-0.320896,435,-1.083923,-0.048606,0.222133,-0.270739,426,3.34107,0.149824,-0.161341,0.311164,523,3.921404,0.175848,-0.440005,0.615853,271,2.32163,0.104109,-0.083197,0.187306
2024,64153,양석환,DOO,2402,True,-0.336936,-0.336936,-8.093209,5.468255,-1.091493,20.322581,2402,100.0,-0.552193,-0.107185,142,1206,-0.786544,1196,0.449608,519,1.218678,0.050736,0.200137,-0.149401,486,1.585252,0.065997,0.226464,-0.160466,457,-2.196946,-0.091463,-0.259977,0.168514,608,-5.052212,-0.210334,-0.665138,0.454805,332,-3.647981,-0.151873,-0.28803,0.136157
