season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,zone_judgment_raw,za_percentile,low_opposite_support_pitches,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100
2025,54529,레이예스,LOT,2315,True,-0.215352,-0.215352,-4.985392,9.269663,-1.13647,26.023392,720,1237,-0.670208,1078,0.454856,520,3.001299,0.129646,0.221403,-0.091758,501,3.55131,0.153404,0.222955,-0.069551,443,-1.836233,-0.079319,-0.26378,0.184461,572,-9.187158,-0.396853,-0.705802,0.308948,279,-0.514609,-0.022229,-0.144984,0.122755
2025,52591,윤동희,LOT,1651,True,0.411789,0.411789,6.798634,-5.900771,2.514292,88.596491,545,661,-0.249977,990,0.661766,393,-0.863968,-0.05233,0.185596,-0.237926,350,-0.808424,-0.048966,0.17952,-0.228485,298,3.387169,0.205159,-0.141638,0.346796,396,4.232489,0.256359,-0.361513,0.617872,214,0.851369,0.051567,-0.111943,0.16351
2025,78513,전준우,LOT,1744,True,0.309054,0.309054,5.389895,2.326027,2.924259,80.994152,558,822,-0.338878,922,0.647931,390,1.996787,0.114495,0.223091,-0.108596,372,1.8106,0.103819,0.18871,-0.084891,338,-1.031481,-0.059145,-0.225284,0.16614,436,1.092771,0.062659,-0.443169,0.505828,208,1.521218,0.087226,-0.082224,0.16945
2025,50150,손호영,LOT,1348,True,-0.321828,-0.321828,-4.338244,9.28424,0.538898,17.836257,416,715,-0.638359,633,0.31653,317,1.0682,0.079243,0.258268,-0.179025,286,0.531216,0.039408,0.205873,-0.166465,239,-1.035347,-0.076806,-0.220509,0.143702,312,-3.991276,-0.296089,-0.664388,0.368299,194,-0.911037,-0.067584,-0.217603,0.150019
2025,61102,유강남,LOT,1388,True,0.006768,0.006768,0.093936,0.378429,-1.426722,47.076023,439,631,-0.527985,757,0.534753,304,0.145869,0.010509,0.177865,-0.167356,314,0.867133,0.062474,0.206926,-0.144453,277,0.071068,0.00512,-0.261679,0.266799,314,-1.400271,-0.100884,-0.528188,0.427304,179,0.410137,0.029549,-0.12291,0.152459
2025,62415,박해민,LG,2155,True,0.31979,0.31979,6.89147,-3.621463,-0.229787,82.748538,750,878,-0.148471,1277,0.468261,553,0.691209,0.032075,0.193601,-0.161526,488,0.97873,0.045417,0.210373,-0.164956,356,0.683771,0.03173,-0.152608,0.184337,508,3.312909,0.153731,-0.327634,0.481365,250,1.224852,0.056838,-0.072203,0.12904
2025,69100,구본혁,LG,1508,True,0.118604,0.118604,1.788544,-0.270281,-0.922827,58.77193,499,683,-0.379283,825,0.497887,369,1.432183,0.094972,0.205908,-0.110935,302,0.64025,0.042457,0.17991,-0.137454,336,0.139538,0.009253,-0.241501,0.250754,336,-0.444233,-0.029458,-0.4195,0.390042,165,0.020807,0.00138,-0.1041,0.10548
2025,62802,박승욱,LOT,363,True,0.350473,0.350473,1.272218,2.7717,1.517327,85.087719,124,173,-0.056855,190,0.407329,89,0.430803,0.118679,0.235093,-0.116414,75,0.44124,0.121554,0.232773,-0.11122,71,-0.039709,-0.010939,-0.158604,0.147665,83,0.168331,0.046372,-0.337588,0.383961,45,0.271553,0.074808,-0.028529,0.103337
2025,68119,문성주,LG,2044,True,0.317615,0.317615,6.492059,-0.694865,2.749345,82.163743,727,858,-0.223026,1186,0.540641,519,2.21381,0.108308,0.213773,-0.105466,415,1.564453,0.076539,0.185281,-0.108742,383,0.576879,0.028223,-0.186244,0.214467,473,1.995651,0.097635,-0.338367,0.436001,254,0.141267,0.006911,-0.09747,0.104381
2025,52121,문정빈,LG,128,False,-0.45996,-0.45996,-0.588749,5.405368,-3.945682,10.526316,38,69,-1.062967,59,0.603007,32,0.165368,0.129194,0.233174,-0.103981,24,-0.062487,-0.048818,0.182832,-0.23165,34,0.062034,0.048464,-0.469418,0.517882,23,-0.697742,-0.545111,-0.850035,0.304924,15,-0.055922,-0.043689,-0.159521,0.115831
2025,65207,신민재,LG,2095,True,0.298386,0.298386,6.25119,-2.840701,2.316544,78.654971,760,876,-0.276213,1219,0.574599,508,0.575077,0.02745,0.198186,-0.170736,438,0.477803,0.022807,0.165488,-0.142681,417,2.052463,0.09797,-0.178111,0.276081,478,2.400547,0.114585,-0.389136,0.503721,254,0.7453,0.035575,-0.07264,0.108215
2025,52103,최원영,LG,407,True,-0.553649,-0.553649,-2.253352,7.821912,-3.412339,6.140351,125,213,-0.831101,194,0.277452,103,0.266803,0.065554,0.198545,-0.132992,79,0.067494,0.016583,0.137765,-0.121182,70,0.031864,0.007829,-0.155945,0.163774,107,-1.25567,-0.308519,-0.593563,0.285044,48,-1.363842,-0.335096,-0.417903,0.082807
2025,65905,최승민,LG,19,False,-0.899746,-0.899746,-0.170952,-1.093953,-14.955765,0.0,7,8,-0.319178,11,-0.580569,5,0.001291,0.006794,0.275218,-0.268424,4,-0.086507,-0.4553,0.0,-0.4553,4,-0.00733,-0.038581,-0.132576,0.093995,4,-0.08117,-0.42721,-0.46182,0.03461,2,0.002765,0.01455,0.0,0.01455
2025,68518,정보근,LOT,585,True,-0.230564,-0.230564,-1.348797,-1.267823,-0.733514,22.51462,192,254,-0.709912,331,0.479349,132,0.007116,0.001216,0.216637,-0.215421,102,-0.580163,-0.099173,0.09344,-0.192613,127,-0.284226,-0.048586,-0.237646,0.189061,146,0.941391,0.160922,-0.430979,0.5919,78,-1.432916,-0.244943,-0.351365,0.106422
2025,52568,한태양,LOT,1107,True,0.288322,0.288322,3.191727,-5.295605,1.58846,76.900585,347,438,-0.324562,669,0.612884,255,-0.07839,-0.007081,0.192345,-0.199426,242,-0.673129,-0.060807,0.184574,-0.245381,209,1.421142,0.128378,-0.172913,0.301291,256,1.295378,0.117017,-0.445287,0.562304,145,1.226725,0.110815,-0.083281,0.194096
2025,62907,박민우,NC,1719,True,0.132742,0.132742,2.281827,-0.026442,1.725756,60.526316,530,767,-0.314852,952,0.447593,416,1.578944,0.091852,0.23118,-0.139328,365,0.728155,0.042359,0.185224,-0.142865,362,-1.875192,-0.109086,-0.277235,0.168149,389,0.096803,0.005631,-0.393313,0.398944,187,1.753116,0.101985,-0.060708,0.162692
