vb_pitch_id,vb_pa_id,vb_pa_result,code,vb_velocity_kmh,tm_rel_speed,dv,vb_pitch_type_kr,tm_tagged_pitch_type,vb_balls_before,vb_strikes_before,tm_balls_before,tm_strikes_before,tm_event,run_kind,vb_internal,dist
20240425HTWO0-20240425HTWO0-019-01,20240425HTWO0-019,투희,B,141.0,141.823,0.73599999999999,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.8999999999999999
20240426HTLG0-20240426HTLG0-045-01,20240426HTLG0-045,유땅,B,142.0,143.92,-0.36099999999999,커터,Cutter,0,0,0,0,strike,equal_length,vb_flow_undecided,0.24
20240426HTLG0-20240426HTLG0-070-02,20240426HTLG0-070,삼진,B,141.0,142.915,-0.35599999999999454,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_broken_either_way,0.744
20240426HTLG0-20240426HTLG0-070-04,20240426HTLG0-070,삼진,B,142.0,144.044,-0.48500000000001364,포심,Fastball,3,0,2,1,strike,equal_length,vb_flow_broken_either_way,2.191142191142191
20240426KTSK0-20240426KTSK0-029-01,20240426KTSK0-029,좌안,B,130.0,130.912,0.6469999999999914,체인지업,Splitter,0,0,0,0,strike,equal_length,vb_flow_undecided,1.2997118155619594
20240426SSWO0-20240426SSWO0-011-01,20240426SSWO0-011,중비,B,141.0,142.242,0.3170000000000073,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_broken_either_way,0.6354740061162076
20240426SSWO0-20240426SSWO0-011-03,20240426SSWO0-011,중비,B,132.0,133.352,0.20699999999999363,슬라이더,Slider,2,0,1,1,strike,equal_length,vb_flow_broken_either_way,0.403058103975535
20240427KTSK0-20240427KTSK0-061-02,20240427KTSK0-061,일야선,B,147.0,147.382,1.1769999999999925,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_supports_strike,0.552
20240427LTNC0-20240427LTNC0-016-01,20240427LTNC0-016,삼진,B,140.0,141.284,0.2750000000000057,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_broken_either_way,0.544578313253012
20240427LTNC0-20240427LTNC0-016-02,20240427LTNC0-016,삼진,B,130.0,130.614,0.9449999999999932,슬라이더,Slider,1,0,0,1,strike,equal_length,vb_flow_broken_either_way,0.648
20240427SSWO0-20240427SSWO0-037-03,20240427SSWO0-037,유땅,B,147.0,148.658,-0.09899999999998954,포심,Fastball,2,0,2,0,strike,equal_length,vb_flow_undecided,1.4900831733845172
20240428LTNC0-20240428LTNC0-026-02,20240428LTNC0-026,삼진,B,144.0,145.153,0.4060000000000059,포심,Fastball,0,1,0,1,strike,equal_length,vb_flow_undecided,0.9119999999999999
20240428OBHH0-20240428OBHH0-040-01,20240428OBHH0-040,투희,B,145.0,148.018,-1.4590000000000032,포심,Sinker,0,0,0,0,strike,equal_length,vb_flow_undecided,1.5892215568862276
20240430SSOB0-20240430SSOB0-036-01,20240430SSOB0-036,삼희,B,135.0,136.998,-0.43899999999999295,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.213364595545135
20240430SSOB0-20240430SSOB0-048-01,20240430SSOB0-048,좌안,B,136.0,138.005,-0.44599999999999795,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.7381370826010543
20240501SSOB0-20240501SSOB0-033-01,20240501SSOB0-033,삼진,B,134.0,134.993,0.5660000000000025,커터,Slider,0,0,0,0,strike,equal_length,vb_flow_broken_either_way,0.5927492447129911
20240501SSOB0-20240501SSOB0-033-02,20240501SSOB0-033,삼진,B,136.0,137.82,-0.2609999999999957,커터,Slider,1,0,0,1,strike,equal_length,vb_flow_broken_either_way,0.5564954682779457
20240501SSOB0-20240501SSOB0-047-02,20240501SSOB0-047,중SF,B,146.0,147.246,0.3129999999999882,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_undecided,1.7039999999999997
20240501WOLT0-20240501WOLT0-034-02,20240501WOLT0-034,일야선,B,139.0,140.759,-0.19999999999998863,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_undecided,0.72
